GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Plugin: Email Sender,org.entando.entando.plugins.jpmail.web.emailconfig.validator,SMTPServerConfigurationValidator,14,73,3,7,4,19,3,6,0,4
Entando Plugin: Email Sender,org.entando.entando.plugins.jpmail.web.emailconfig.validator,EmailSenderValidator,19,58,2,8,6,14,4,7,2,4
Entando Plugin: Email Sender,com.agiletec.plugins.jpmail.aps.services,JpmailSystemConstants,4,0,0,0,1,0,1,0,1,0
Entando Plugin: Email Sender,org.entando.entando.plugins.jpmail.ent.system.services,SMTPServerConfigurationService,55,248,7,15,18,63,7,12,0,7
Entando Plugin: Email Sender,org.entando.entando.plugins.jpmail.ent.system.services,EmailSenderService,55,200,5,5,15,45,4,11,0,10
Entando Plugin: Email Sender,com.agiletec.plugins.jpmail.apsadmin.mail,SmtpConfigAction,191,211,22,10,52,68,18,29,5,26
Entando Plugin: Email Sender,com.agiletec.plugins.jpmail.apsadmin.mail,MailSenderConfigAction,74,198,12,16,22,63,10,21,0,17
Entando Plugin: Email Sender,org.entando.entando.plugins.jpmail.ent.system.services.model,EmailSenderDto,0,90,1,7,0,19,1,12,0,9
Entando Plugin: Email Sender,org.entando.entando.plugins.jpmail.ent.system.services.model,SMTPServerConfigurationDto,0,234,8,14,0,43,8,25,0,22
Entando Plugin: Email Sender,com.agiletec.plugins.jpmail.aps.services.mail.util,EmailAddressValidator,12,54,3,11,5,17,4,6,1,2
Entando Plugin: Email Sender,com.agiletec.plugins.jpmail.aps.services.mail,MailManager,209,469,23,24,51,117,23,27,3,23
Entando Plugin: Email Sender,com.agiletec.plugins.jpmail.aps.services.mail,MailConfig,2,180,6,8,1,54,6,27,0,26
Entando Plugin: Email Sender,com.agiletec.plugins.jpmail.aps.services.mail,SMTPAuthenticator,22,0,2,0,6,0,3,0,2,0
Entando Plugin: Email Sender,org.entando.entando.plugins.jpmail.web.emailconfig,EmailSenderController,9,138,1,5,1,25,1,8,0,6
Entando Plugin: Email Sender,org.entando.entando.plugins.jpmail.web.emailconfig,SMTPServerConfigurationController,5,165,1,9,1,35,1,9,0,5
Entando Plugin: Email Sender,com.agiletec.plugins.jpmail.aps.services.mail.parse,MailConfigDOM,5,524,13,33,1,127,13,19,0,9
